mw,sharded,ratio,rep,latency,weight
2,true,1:6,3,84,19
2,true,1:6,3,85,23
2,true,1:6,3,86,27
2,true,1:6,3,87,17
2,true,1:6,3,88,13
2,true,1:6,3,89,11
2,true,1:6,3,90,13
2,true,1:6,3,91,18
2,true,1:6,3,92,14
2,true,1:6,3,93,11
2,true,1:6,3,94,7
2,true,1:6,3,95,7
2,true,1:6,3,96,7
2,true,1:6,3,97,5
2,true,1:6,3,98,9
2,true,1:6,3,99,4
2,true,1:6,3,100,5
1,false,1:6,1,1,0
1,false,1:6,1,2,0
1,false,1:6,1,3,26
1,false,1:6,1,4,3582
1,false,1:6,1,5,17010
1,false,1:6,1,6,20795
1,false,1:6,1,7,23729
1,false,1:6,1,8,25926
1,false,1:6,1,9,21850
1,false,1:6,1,10,15552
1,false,1:6,1,11,10522
1,false,1:6,1,12,7572
1,false,1:6,1,13,5537
1,false,1:6,1,14,4207
1,false,1:6,1,15,3099
1,false,1:6,1,16,2409
1,false,1:6,1,17,1853
1,false,1:6,1,18,1491
1,false,1:6,1,19,1094
1,false,1:6,1,20,927
1,false,1:6,1,21,713
1,false,1:6,1,22,631
1,false,1:6,1,23,504
1,false,1:6,1,24,447
1,false,1:6,1,25,379
1,false,1:6,1,26,342
1,false,1:6,1,27,306
1,false,1:6,1,28,240
1,false,1:6,1,29,237
1,false,1:6,1,30,204
1,false,1:6,1,31,194
1,false,1:6,1,32,213
1,false,1:6,1,33,186
1,false,1:6,1,34,156
1,false,1:6,1,35,180
1,false,1:6,1,36,147
1,false,1:6,1,37,148
1,false,1:6,1,38,149
1,false,1:6,1,39,134
1,false,1:6,1,40,134
1,false,1:6,1,41,118
1,false,1:6,1,42,127
1,false,1:6,1,43,110
1,false,1:6,1,44,112
1,false,1:6,1,45,85
1,false,1:6,1,46,86
1,false,1:6,1,47,83
1,false,1:6,1,48,77
1,false,1:6,1,49,63
1,false,1:6,1,50,62
1,false,1:6,1,51,43
1,false,1:6,1,52,53
1,false,1:6,1,53,53
1,false,1:6,1,54,57
1,false,1:6,1,55,46
1,false,1:6,1,56,45
1,false,1:6,1,57,44
1,false,1:6,1,58,45
1,false,1:6,1,59,35
1,false,1:6,1,60,53
1,false,1:6,1,61,41
1,false,1:6,1,62,44
1,false,1:6,1,63,50
1,false,1:6,1,64,47
1,false,1:6,1,65,36
1,false,1:6,1,66,41
1,false,1:6,1,67,32
1,false,1:6,1,68,50
1,false,1:6,1,69,38
1,false,1:6,1,70,46
1,false,1:6,1,71,36
1,false,1:6,1,72,24
1,false,1:6,1,73,32
1,false,1:6,1,74,16
1,false,1:6,1,75,27
1,false,1:6,1,76,30
1,false,1:6,1,77,29
1,false,1:6,1,78,23
1,false,1:6,1,79,23
1,false,1:6,1,80,29
1,false,1:6,1,81,21
1,false,1:6,1,82,18
1,false,1:6,1,83,18
1,false,1:6,1,84,17
1,false,1:6,1,85,11
1,false,1:6,1,86,15
1,false,1:6,1,87,13
1,false,1:6,1,88,8
1,false,1:6,1,89,4
1,false,1:6,1,90,4
1,false,1:6,1,91,7
1,false,1:6,1,92,16
1,false,1:6,1,93,9
1,false,1:6,1,94,11
1,false,1:6,1,95,3
1,false,1:6,1,96,13
1,false,1:6,1,97,6
1,false,1:6,1,98,5
1,false,1:6,1,99,7
1,false,1:6,1,100,5
2,false,1:6,1,1,0
2,false,1:6,1,2,0
2,false,1:6,1,3,2
2,false,1:6,1,4,1338
2,false,1:6,1,5,11355
2,false,1:6,1,6,18914
2,false,1:6,1,7,18054
2,false,1:6,1,8,13942
2,false,1:6,1,9,10149
2,false,1:6,1,10,7494
2,false,1:6,1,11,5891
2,false,1:6,1,12,4558
2,false,1:6,1,13,3573
2,false,1:6,1,14,3023
2,false,1:6,1,15,2448
2,false,1:6,1,16,2158
2,false,1:6,1,17,1702
2,false,1:6,1,18,1447
2,false,1:6,1,19,1227
2,false,1:6,1,20,1042
2,false,1:6,1,21,1019
2,false,1:6,1,22,836
2,false,1:6,1,23,804
2,false,1:6,1,24,733
2,false,1:6,1,25,728
2,false,1:6,1,26,618
2,false,1:6,1,27,674
2,false,1:6,1,28,593
2,false,1:6,1,29,580
2,false,1:6,1,30,559
2,false,1:6,1,31,617
2,false,1:6,1,32,560
2,false,1:6,1,33,548
2,false,1:6,1,34,586
2,false,1:6,1,35,551
2,false,1:6,1,36,568
2,false,1:6,1,37,565
2,false,1:6,1,38,604
2,false,1:6,1,39,575
2,false,1:6,1,40,636
2,false,1:6,1,41,660
2,false,1:6,1,42,692
2,false,1:6,1,43,712
2,false,1:6,1,44,618
2,false,1:6,1,45,632
2,false,1:6,1,46,525
2,false,1:6,1,47,461
2,false,1:6,1,48,420
2,false,1:6,1,49,349
2,false,1:6,1,50,274
2,false,1:6,1,51,231
2,false,1:6,1,52,211
2,false,1:6,1,53,183
2,false,1:6,1,54,140
2,false,1:6,1,55,134
2,false,1:6,1,56,127
2,false,1:6,1,57,94
2,false,1:6,1,58,104
2,false,1:6,1,59,96
