client,mw,sharded,ratio,latency,weight
2,1,true,1:6,6,0
2,1,true,1:6,7,0
2,1,true,1:6,8,0
2,1,true,1:6,9,0.02
2,1,true,1:6,10,1.57
2,1,true,1:6,11,6.27
2,1,true,1:6,12,13.6
2,1,true,1:6,13,20.560000000000002
2,1,true,1:6,14,26.189999999999998
2,1,true,1:6,15,29.110000000000007
2,1,true,1:6,16,28.719999999999995
2,1,true,1:6,17,25.79
2,1,true,1:6,18,22.32
2,1,true,1:6,19,18.910000000000004
2,1,true,1:6,20,16.25999999999999
2,1,true,1:6,21,13.159999999999997
2,1,true,1:6,22,10.730000000000018
2,1,true,1:6,23,9.049999999999997
2,1,true,1:6,24,7.409999999999997
2,1,true,1:6,25,5.890000000000001
2,1,true,1:6,26,5.079999999999998
2,1,true,1:6,27,4.079999999999998
2,1,true,1:6,28,3.519999999999996
2,1,true,1:6,29,2.8299999999999983
2,1,true,1:6,30,2.6000000000000227
2,1,true,1:6,31,2.089999999999989
2,1,true,1:6,32,1.75
2,1,true,1:6,33,1.4299999999999926
2,1,true,1:6,34,1.4099999999999966
2,1,true,1:6,35,1.1500000000000057
2,1,true,1:6,36,1.0799999999999983
2,1,true,1:6,37,0.9000000000000057
2,1,true,1:6,38,0.9099999999999966
2,1,true,1:6,39,0.8199999999999932
2,1,true,1:6,40,0.7900000000000063
2,1,true,1:6,41,0.6899999999999977
2,1,true,1:6,42,0.6400000000000006
2,1,true,1:6,43,0.5899999999999892
2,1,true,1:6,44,0.5400000000000205
2,1,true,1:6,45,0.5099999999999909
2,1,true,1:6,46,0.5499999999999972
2,1,true,1:6,47,0.519999999999996
2,1,true,1:6,48,0.4700000000000131
2,1,true,1:6,49,0.45999999999999375
2,1,true,1:6,50,0.4299999999999926
2,1,true,1:6,51,0.44000000000001194
2,1,true,1:6,52,0.3999999999999915
2,1,true,1:6,53,0.3400000000000034
2,1,true,1:6,54,0.27000000000001023
2,1,true,1:6,55,0.2599999999999909
2,1,true,1:6,56,0.28999999999999204
2,1,true,1:6,57,0.269999999999996
2,1,true,1:6,58,0.27000000000001023
2,1,true,1:6,59,0.2600000000000051
2,1,true,1:6,60,0.18999999999999773
2,1,true,1:6,61,0.20999999999999375
2,1,true,1:6,62,0.20000000000001705
2,1,true,1:6,63,0.19999999999998863
2,1,true,1:6,64,0.19000000000001194
2,1,true,1:6,65,0.1799999999999926
2,1,true,1:6,66,0.1799999999999926
2,1,true,1:6,67,0.1700000000000017
2,1,true,1:6,68,0.18000000000000682
2,1,true,1:6,69,0.20999999999999375
2,1,true,1:6,70,0.12999999999999545
2,1,true,1:6,71,0.21000000000000796
2,1,true,1:6,72,0.19000000000001194
2,1,true,1:6,73,0.18999999999998352
2,1,true,1:6,74,0.1799999999999926
2,1,true,1:6,75,0.18000000000000682
2,1,true,1:6,76,0.19000000000001194
2,1,true,1:6,77,0.1799999999999784
2,1,true,1:6,78,0.18000000000000682
2,1,true,1:6,79,0.13000000000000966
2,1,true,1:6,80,0.14999999999999147
2,1,true,1:6,81,0.12000000000001876
2,1,true,1:6,82,0.10999999999998522
2,1,true,1:6,83,0.10999999999998522
2,1,true,1:6,84,0.0800000000000125
2,1,true,1:6,85,0.10000000000000853
2,1,true,1:6,86,0.0899999999999892
2,1,true,1:6,87,0.060000000000002274
2,1,true,1:6,88,0.0799999999999983
2,1,true,1:6,89,0.0800000000000125
2,1,true,1:6,90,0.07999999999998408
2,1,true,1:6,91,0.060000000000002274
2,1,true,1:6,92,0.0800000000000125
2,1,true,1:6,93,0.05999999999998806
2,1,true,1:6,94,0.030000000000015348
2,1,true,1:6,95,0.03999999999999204
2,1,true,1:6,96,0.05000000000001137
2,1,true,1:6,97,0.029999999999986926
2,1,true,1:6,98,0.0
2,1,true,1:6,99,0.04999999999998295
2,1,true,1:6,100,0.12000000000000455
3,1,true,1:6,1,0
3,1,true,1:6,2,0
3,1,true,1:6,3,0
3,1,true,1:6,4,0
3,1,true,1:6,5,0
3,1,true,1:6,6,0
3,1,true,1:6,7,0.35000000000000003
3,1,true,1:6,8,3.7500000000000004
3,1,true,1:6,9,12.27
3,1,true,1:6,10,34.06
3,1,true,1:6,11,30.900000000000002
3,1,true,1:6,12,34.32000000000001
3,1,true,1:6,13,32.32999999999999
3,1,true,1:6,14,28.060000000000002
3,1,true,1:6,15,22.880000000000003
3,1,true,1:6,16,17.670000000000016
3,1,true,1:6,17,13.369999999999976
3,1,true,1:6,18,10.760000000000005
3,1,true,1:6,19,8.620000000000005
3,1,true,1:6,20,6.510000000000005
3,1,true,1:6,21,5.390000000000001
3,1,true,1:6,22,4.339999999999989
3,1,true,1:6,23,3.5400000000000063
3,1,true,1:6,24,2.839999999999989
3,1,true,1:6,25,2.3800000000000097
3,1,true,1:6,26,1.9799999999999898
3,1,true,1:6,27,1.7299999999999898
3,1,true,1:6,28,1.410000000000025
3,1,true,1:6,29,1.3900000000000006
3,1,true,1:6,30,1.1899999999999835
3,1,true,1:6,31,1.0100000000000193
3,1,true,1:6,32,0.8799999999999812
3,1,true,1:6,33,0.8100000000000023
3,1,true,1:6,34,0.75
3,1,true,1:6,35,0.6800000000000068
3,1,true,1:6,36,0.6500000000000057
3,1,true,1:6,37,0.6499999999999915
3,1,true,1:6,38,0.5899999999999892
3,1,true,1:6,39,0.6000000000000227
3,1,true,1:6,40,0.5699999999999932
3,1,true,1:6,41,0.5100000000000051
3,1,true,1:6,42,0.5699999999999932
3,1,true,1:6,43,0.519999999999996
3,1,true,1:6,44,0.46999999999999886
3,1,true,1:6,45,0.4099999999999966
3,1,true,1:6,46,0.39000000000000057
3,1,true,1:6,47,0.4300000000000068
3,1,true,1:6,48,0.4200000000000017
3,1,true,1:6,49,0.4399999999999977
3,1,true,1:6,50,0.37999999999999545
3,1,true,1:6,51,0.3100000000000023
3,1,true,1:6,52,0.28000000000000114
3,1,true,1:6,53,0.2500000000000142
3,1,true,1:6,54,0.25
3,1,true,1:6,55,0.21999999999998465
3,1,true,1:6,56,0.18999999999999773
3,1,true,1:6,57,0.21000000000000796
3,1,true,1:6,58,0.18999999999999773
3,1,true,1:6,59,0.15000000000000568
3,1,true,1:6,60,0.12999999999999545
3,1,true,1:6,61,0.13999999999998636
3,1,true,1:6,62,0.18000000000002103
3,1,true,1:6,63,0.12999999999998124
3,1,true,1:6,64,0.12000000000001876
3,1,true,1:6,65,0.1599999999999966
3,1,true,1:6,66,0.14999999999999147
3,1,true,1:6,67,0.1600000000000108
3,1,true,1:6,68,0.12999999999998124
3,1,true,1:6,69,0.1600000000000108
3,1,true,1:6,70,0.11000000000001364
3,1,true,1:6,71,0.1699999999999875
3,1,true,1:6,72,0.14000000000000057
3,1,true,1:6,73,0.10999999999999943
3,1,true,1:6,74,0.1799999999999926
3,1,true,1:6,75,0.11000000000001364
3,1,true,1:6,76,0.11999999999999034
3,1,true,1:6,77,0.10999999999999943
3,1,true,1:6,78,0.10999999999999943
3,1,true,1:6,79,0.09000000000000341
3,1,true,1:6,80,0.11000000000001364
3,1,true,1:6,81,0.10999999999997101
3,1,true,1:6,82,0.09000000000000341
3,1,true,1:6,83,0.09000000000000341
3,1,true,1:6,84,0.07000000000000739
3,1,true,1:6,85,0.07000000000000739
3,1,true,1:6,86,0.05999999999998806
3,1,true,1:6,87,0.04999999999999716
3,1,true,1:6,88,0.05000000000001137
3,1,true,1:6,89,0.03999999999999204
3,1,true,1:6,90,0.04000000000000625
3,1,true,1:6,91,0.05999999999998806
3,1,true,1:6,92,0.020000000000010232
3,1,true,1:6,93,0.04999999999999716
3,1,true,1:6,94,0.01999999999999602
3,1,true,1:6,95,0.04000000000000625
3,1,true,1:6,96,0.03999999999999204
3,1,true,1:6,97,0.01999999999999602
3,1,true,1:6,98,0.020000000000010232
3,1,true,1:6,99,0.020000000000010232
3,1,true,1:6,100,0.09999999999999432
1,2,true,1:6,1,0
1,2,true,1:6,2,0
1,2,true,1:6,3,0
1,2,true,1:6,4,0
1,2,true,1:6,5,0
1,2,true,1:6,6,0
1,2,true,1:6,7,0.05
1,2,true,1:6,8,1.23
1,2,true,1:6,9,7.279999999999999
1,2,true,1:6,10,31.260000000000005
1,2,true,1:6,11,32.64
1,2,true,1:6,12,34.25
1,2,true,1:6,13,29.3
1,2,true,1:6,14,23.349999999999994
1,2,true,1:6,15,18.560000000000002
1,2,true,1:6,16,13.949999999999996
1,2,true,1:6,17,11.169999999999995
1,2,true,1:6,18,8.600000000000009
1,2,true,1:6,19,6.840000000000003
1,2,true,1:6,20,5.839999999999989
1,2,true,1:6,21,4.980000000000004
1,2,true,1:6,22,4.0
1,2,true,1:6,23,3.3599999999999994
1,2,true,1:6,24,3.0700000000000074
1,2,true,1:6,25,2.6699999999999875
1,2,true,1:6,26,2.3500000000000227
1,2,true,1:6,27,2.029999999999987
1,2,true,1:6,28,1.9099999999999966
